Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,17
design__inferred_latch__count,0
design__instance__count,154953
design__instance__area,1.02251E+6
design__instance_unmapped__count,0
synthesis__check_error__count,206
design__max_slew_violation__count__corner:nom_tt_025C_1v80,1
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,1117
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.008162039332091808
power__switching__total,0.005974658764898777
power__leakage__total,1.6972914806956396E-7
power__total,0.014136867597699165
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-2.6272371688468303
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.9516632196091149
timing__hold__ws__corner:nom_tt_025C_1v80,0.2091464838292126
timing__setup__ws__corner:nom_tt_025C_1v80,13.383424525204783
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.917968
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,128
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,1117
design__max_cap_violation__count__corner:nom_ss_100C_1v60,11
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-3.0724850200378606
clock__skew__worst_setup__corner:nom_ss_100C_1v60,1.4950054950490157
timing__hold__ws__corner:nom_ss_100C_1v60,0.17100898958710695
timing__setup__ws__corner:nom_ss_100C_1v60,4.652744099469769
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,2.087829
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,Infinity
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,1117
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-2.4353226791147837
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.7166347718086389
timing__hold__ws__corner:nom_ff_n40C_1v95,0.37724002767119946
timing__setup__ws__corner:nom_ff_n40C_1v95,13.301969680030384
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.516107
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,168
design__max_fanout_violation__count,1117
design__max_cap_violation__count,15
clock__skew__worst_hold,-2.4276714659018857
clock__skew__worst_setup,0.6945590965626495
timing__hold__ws,0.0380886444276406
timing__setup__ws,4.286519704960443
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.510552
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 2920.0 3520.0
design__core__bbox,5.52 10.88 2914.1 3508.8
design__io,637
design__die__area,1.02784E+7
design__core__area,1.0174E+7
design__instance__count__stdcell,154952
design__instance__area__stdcell,300513
design__instance__count__macros,1
design__instance__area__macros,722000
design__instance__utilization,0.100503
design__instance__utilization__stdcell,0.0317937
design__instance__count__class:macro,1
design__instance__count__class:buffer,1
design__instance__count__class:inverter,1179
design__instance__count__class:sequential_cell,1130
design__instance__count__class:multi_input_combinational_cell,3450
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,935607
design__instance__count__class:tap_cell,134235
design__power_grid_violation__count__net:vssd1,0
design__power_grid_violation__count__net:vdda1,0
design__power_grid_violation__count__net:vccd1,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,662284
design__violations,0
design__instance__count__class:timing_repair_buffer,3761
design__instance__count__class:clock_buffer,437
design__instance__count__class:clock_inverter,154
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,2336
antenna__violating__nets,1
antenna__violating__pins,1
route__antenna_violation__count,1
design__instance__count__class:antenna_cell,10605
antenna_diodes_count,21
route__net,10278
route__net__special,3
route__drc_errors__iter:1,6043
route__wirelength__iter:1,769286
route__drc_errors__iter:2,3320
route__wirelength__iter:2,766135
route__drc_errors__iter:3,2975
route__wirelength__iter:3,765299
route__drc_errors__iter:4,508
route__wirelength__iter:4,765450
route__drc_errors__iter:5,146
route__wirelength__iter:5,765447
route__drc_errors__iter:6,89
route__wirelength__iter:6,765447
route__drc_errors__iter:7,69
route__wirelength__iter:7,765456
route__drc_errors__iter:8,41
route__wirelength__iter:8,765490
route__drc_errors__iter:9,27
route__wirelength__iter:9,765493
route__drc_errors__iter:10,27
route__wirelength__iter:10,765493
route__drc_errors__iter:11,27
route__wirelength__iter:11,765493
route__drc_errors__iter:12,5
route__wirelength__iter:12,765524
route__drc_errors__iter:13,0
route__wirelength__iter:13,765523
route__drc_errors,0
route__wirelength,765523
route__vias,88144
route__vias__singlecut,88144
route__vias__multicut,0
design__disconnected_pin__count,238
design__critical_disconnected_pin__count,0
route__wirelength__max,7123.62
timing__unannotated_net__count__corner:nom_tt_025C_1v80,872
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,872
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,872
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,1
design__max_fanout_violation__count__corner:min_tt_025C_1v80,1117
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
